,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Finish,Shape,Units per pasteurizer,Technical drawing
0,008082-17,33 ml,47 grs,Glass,"43,00 mm","40,50 mm",white,Twist Off TO 43,cylindrical,306,
1,008082-362,35 ml,46 grs,Glass,"53,00 mm","35,00 mm",glass-white,Weck 40 mm,cylindrical,,
2,008081-621,40 ml,60 grs,Glass,"45,10 mm","45,60 mm",white,Twist Off 43 Deep,octogonal,,⬇ 23670
3,008081-625,40 ml,60 grs,Glass,"45,10 mm","47,70 mm",white,Twist Off 43 Deep,cylindrical,,⬇ 19503
4,008081-637,40 ml,70 grs,Glass,"42,60 mm","45,50 mm",white,Twist Off 43 Deep,square,,⬇ 17916
5,008082-22,41 ml,61 grs,Glass,"43,30 mm","50,40 mm",white,Twist Off TO 43,cylindrical,255,
6,008081-455,46 ml,80 grs,Glass,"46,50 mm","53,60 mm",white,PP 45,cylindrical,,⬇ 8430
7,008081-271,47 ml,60 grs,Glass,"49,00 / 43,00 mm","51,00 mm",white,Twist Off TO 43,hexagonal,85,
8,008082-363,50 ml,58 grs,Glass,"67,00 / 49,00 mm","36,00 mm",glass-white,Weck 60 mm,cylindrical,,
9,008081-456,60 ml,78 grs,Glass,"50,00 mm","62,00 mm",white,Twist Off 48,cylindrical,,⬇ 14993
10,008081-457,60 ml,90 grs,Glass,"47,00 mm","67,60 mm",extrawhite,BG-Twist off,cylindrical,,⬇6
11,008081-578,60 ml,92 grs,Glass,"60,80 mm","41,20 mm",white,BG-Twist off,cylindrical,,⬇ 22760
12,008082-18,65 ml,65 grs,Glass,"56,50 mm","46,00 mm",white,Twist Off 48,cylindrical,155,
13,008081-604,65 ml,70 grs,Glass,"598,00 mm","33,40 mm",white,Twist Off TO 66,cylindrical,,⬇ 5397
14,10593,65 ml,78 grs,Glass,"41,00 mm","76,00 mm",glass-white,Twist Off TO 38,cylindrical,,
15,008082-31,67 ml,70 grs,Glass,"42,00 mm","77,30 mm",white,Twist Off TO 38,cylindrical,168,
16,008081-607,67 ml,100 grs,Glass,"60,20 mm","43,80 mm",white,BG-Twist off,cylindrical,,⬇ 15687
17,008081-287,67 ml,110 grs,Glass,"60,70 mm","41,50 mm",glass-white,Twist Off TO 58 Tall,square,156,⬇ 17532
18,008081-523,70 ml,62 grs,Glass,"53,40 mm","47,00 mm",white,Twist Off TO 53,cylindrical,,⬇ 19395
19,008081-384,70 ml,70 grs,Glass,"59,70 mm","36,00 mm",glass-white,Twist Off TO 66,cylindrical,,
20,008081-351,70 ml,80 grs,Glass,"61,25 mm","41,35 mm",glass-white,Twist Off TO 58 Tall,cylindrical,150,
21,008081-453,71 ml,80 grs,Glass,"50,60 mm","81,90 mm",white,Twist Off 43 Deep,cylindrical,,⬇ 15240
22,008082-390,75 ml,79 grs,Glass,"60,00 mm","46,00 mm",glass-white,Twist Off TO 58 Tall,cylindrical,,
23,10283,80 ml,120 grs,Glass,"42,00 mm","109,00 mm",glass-white,Screw Finished - X Grinder Special,cylindrical,,
24,008082-377,80 ml,137 grs,Glass,"60,00 mm","55,00 mm",glass-white,Weck 60 mm,cylindrical,,
25,008081-655,82 ml,100 grs,Glass,"42,90 mm","103,40 mm",white,BG-Screw,cylindrical,,⬇ 13884
26,008081-653,85 ml,90 grs,Glass,"42,00 mm","110,00 mm",white,BG-Screw,cylindrical,,⬇ 25904
27,008081-458,90 ml,84 grs,Glass,"49,90 mm","78,20 mm",white,PP 45,cylindrical,,⬇ 8722
28,008081-654,90 ml,100 grs,Glass,"42,50 mm","103,50 mm",white,PP 35,cylindrical,,⬇ 10698
29,008082-61,99 ml,113 grs,Glass,"46,00 mm","94,80 mm",white,Twist Off TO 43,cylindrical,92,
30,008082-361,100 ml,101 grs,Glass,"52,00 mm","107,00 mm",glass-white,Weck 40 mm,cylindrical,,
31,008081-652,100 ml,128 grs,Glass,"46,00 mm","123,00 mm",white,BG-Screw,cylindrical,,⬇ 16699
32,008081-671,100 ml,132 grs,Glass,"66,00 mm","57,00 mm",glass-white,,cylindrical,,
33,008081-476,105 ml,90 grs,Glass,"64,00 mm","57,20 mm",white,BG-Twist off,cylindrical,,⬇ 19400
34,008082-394,105 ml,98 grs,Glass,"50,00 mm","80,00 mm",glass-white,Twist Off 48,cylindrical,,
35,008081-507,106 ml,90 grs,Glass,"57,30 mm","61,50 mm",white,BG-Twist off,cylindrical,,⬇ 9295
36,008081-609,106 ml,90 grs,Glass,"60,20 mm","56,10 mm",white,BG-Twist off,cylindrical,,⬇ 21603
37,008081-528,106 ml,92 grs,Glass,"51,50 mm","74,50 mm",white,Twist Off 48,cylindrical,,⬇ 17834
38,008082-217,106 ml,92 grs,Glass,"52,00 mm","75,00 mm",glass-white,Twist Off 48,cylindrical,,
39,008082-251,106 ml,96 grs,Glass,"57,00 mm","62,00 mm",glass-white,Twist Off TO 53,cylindrical,,
40,008081-269,106 ml,100 grs,Glass,"68,00 / 60,20 mm","55,50 mm",glass-white,Twist Off TO 53,hexagonal,68,
41,008081-473,106 ml,100 grs,Glass,"51,80 mm","79,00 mm",white,BG-Twist off,cylindrical,,⬇ 20085
42,008081-474,106 ml,100 grs,Glass,"56,10 mm","67,80 mm",white,BG-Twist off,cylindrical,,⬇ 20086
43,008081-623,106 ml,100 grs,Glass,"45,10 mm","98,90 mm",white,Twist Off 43 Deep,cylindrical,,⬇ 19504
44,008081-297,106 ml,100 grs,Glass,"62,50 mm","62,00 mm",glass-white,Twist Off TO 53,cylindrical,96,
45,008081-556,106 ml,105 grs,Glass,"60,20 mm","55,50 mm",white,BG-Twist off,hexagonal,,⬇ 21890
46,008081-282,106 ml,106 grs,Glass,"61,25 mm","56,70 mm",glass-white,Twist Off TO 58 Tall,,100,
47,008081-274,106 ml,110 grs,Glass,"67,00 mm","67,00 mm",glass-white,Twist Off 48,square,84,
48,008081-452,106 ml,110 grs,Glass,"58,00 mm","90,00 mm",white,Twist Off 48,cylindrical,,⬇ 14980
49,008081-77,106 ml,115 grs,Glass,"70,11 / 56,50 mm","61,50 mm",glass-white,Twist Off 48,square,104,
50,008081-447,106 ml,115 grs,Glass,"48,00 mm","97,50 mm",white,PP 45,cylindrical,,⬇ 17395
51,008081-636,106 ml,115 grs,Glass,"52,40 mm","69,00 mm",white,Twist Off 48,square,,⬇ 14750
52,008081-491,106 ml,120 grs,Glass,"67,00 mm","48,00 mm",white,Twist Off TO 63 Tall,cylindrical,,⬇ 29510
